,Ship,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7
152,Jason Grace/Piper McLean,29 Mar 2019,Jason,Piper,,,,,
153,Nico di Angelo/Will Solace,29 Mar 2019,Nico,Will,,,,,
154,Percy Jackson/Nico Di Angelo,29 Mar 2019,Percy,Nico,,,,,
155,Nico di Angelo/Will Solace,29 Mar 2019,Nico,Will,,,,,
156,Artemis/Percy Jackson,27 Mar 2019,Artemis,Percy,,,,,
157,Nico di Angelo/Thalia Grace,27 Mar 2019,Nico,Thalia,,,,,
158,Jason Grace/Piper McLean,27 Mar 2019,Jason,Piper,,,,,
159,Hazel Levesque/Frank Zhang,27 Mar 2019,Hazel,Frank,,,,,
160,Apollo/Rachel Elizabeth Dare,27 Mar 2019,Apollo,Rachel,,,,,
161,Clarisse La Rue/Chris Rodriguez,27 Mar 2019,Clarisse,Chris,,,,,
162,Luke Castellan/Zoë Nightshade,27 Mar 2019,Luke,Zo,,,,,
163,Zeus/Hera,27 Mar 2019,Zeus,Hera,,,,,
164,Poseidon/Amphitrite,27 Mar 2019,Poseidon,Amphitrite,,,,,
165,Hades/Persephone ,27 Mar 2019,Hades,Persephone,,,,,
166,Annabeth Chase/Percy Jackson,27 Mar 2019,Annabeth,Percy,,,,,
167,Annabeth Chase/Percy Jackson,27 Mar 2019,Annabeth,Percy,,,,,
168,Paul Blofis/Sally Jackson,27 Mar 2019,Paul Blofis,Sally,,,,,
169,Annabeth Chase/Original Male Character,27 Mar 2019,Annabeth,OC,,,,,
170,Percy Jackson/Original Female Character,27 Mar 2019,Percy,OC,,,,,
171,Rachel Elizabeth Dare/Percy Jackson- FORMERLY,27 Mar 2019,Rachel,Percy,,,,,
172,Luke Castellan/Annabeth Chase- FORMERLY,27 Mar 2019,Luke,Annabeth,,,,,
173,Annabeth Chase/Percy Jackson,27 Mar 2019,Annabeth,Percy,,,,,
174,Hazel Levesque/Frank Zhang,27 Mar 2019,Hazel,Frank,,,,,
175,Annabeth Chase/Percy Jackson,27 Mar 2019,Annabeth,Percy,,,,,
