,Ship,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7
1184,Nico di Angelo/Percy Jackson,29 Jan 2019,Nico,Percy,,,,,
1185,Nico di Angelo/Will Solace,29 Jan 2019,Nico,Will,,,,,
1186,Annabeth Chase/Percy Jackson,29 Jan 2019,Annabeth,Percy,,,,,
1187,Pre- Nico di Angelo/Jason Grace/Percy Jackson/Will Solace,29 Jan 2019,Nico,Jason,Percy,Will,,,
1188,Nico di Angelo/Will Solace,29 Jan 2019,Nico,Will,,,,,
1189,Nico di Angelo/Jason Grace/Percy Jackson/Will Solace,29 Jan 2019,Nico,Jason,Percy,Will,,,
1190,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1191,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1192,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1193,Percy Jackson/Reader,28 Jan 2019,Percy,Reader,,,,,
1194,Percy Jackson/Original Female Character,28 Jan 2019,Percy,OC,,,,,
1195,Percy Jackson/Original Character,28 Jan 2019,Percy,OC,,,,,
1196,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1197,Will Solace/Reader,28 Jan 2019,Will,Reader,,,,,
1198,Jason Grace/Reader,28 Jan 2019,Jason,Reader,,,,,
1199,Annabeth Chase/Percy Jackson,28 Jan 2019,Annabeth,Percy,,,,,
1200,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1201,Hazel Levesque/Frank Zhang,28 Jan 2019,Hazel,Frank,,,,,
1202,Jason Grace/Piper McLean,28 Jan 2019,Jason,Piper,,,,,
1203,Magnus Chase/Alex Fierro,28 Jan 2019,Magnus,Alex,,,,,
1204,Nico di Angelo/Leo Valdez,28 Jan 2019,Nico,Leo,,,,,
1205,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1206,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1207,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1208,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1209,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1210,Annabeth Chase/Percy Jackson,28 Jan 2019,Annabeth,Percy,,,,,
1211,Hazel Levesque/Frank Zhang,28 Jan 2019,Hazel,Frank,,,,,
1212,Percy Jackson/tentacles,28 Jan 2019,Percy,tentacles,,,,,
1213,Percy Jackson/monster,28 Jan 2019,Percy,monster,,,,,
1214,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1215,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1216,Jason Grace/Percy Jackson,28 Jan 2019,Jason,Percy,,,,,
1217,Annabeth Chase/Percy Jackson,28 Jan 2019,Annabeth,Percy,,,,,
1218,Artemis/Percy Jackson,28 Jan 2019,Artemis,Percy,,,,,
1219,Annabeth Chase/Percy Jackson,28 Jan 2019,Annabeth,Percy,,,,,
1220,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1221,Nico di Angelo/Will Solace,28 Jan 2019,Nico,Will,,,,,
1222,Annabeth Chase/Percy Jackson,26 Jan 2019,Annabeth,Percy,,,,,
1223,Nico di Angelo/Percy Jackson,26 Jan 2019,Nico,Percy,,,,,
1224,Nico di Angelo/Will Solace,26 Jan 2019,Nico,Will,,,,,
1225,Annabeth Chase/Percy Jackson,26 Jan 2019,Annabeth,Percy,,,,,
1226,Hades/Persephone ,26 Jan 2019,Hades,Persephone,,,,,
1227,Nico di Angelo/Will Solace,26 Jan 2019,Nico,Will,,,,,
1228,Annabeth Chase/Percy Jackson,26 Jan 2019,Annabeth,Percy,,,,,
1229,Nico di Angelo/Will Solace,26 Jan 2019,Nico,Will,,,,,
1230,Jason Grace/Percy Jackson,26 Jan 2019,Jason,Percy,,,,,
1231,Annabeth Chase/Percy Jackson,26 Jan 2019,Annabeth,Percy,,,,,
1232,Will Solace/Leo Valdez,26 Jan 2019,Will,Leo,,,,,
1233,Nico di Angelo/Will Solace,26 Jan 2019,Nico,Will,,,,,
1234,Jason Grace/Piper McLean,26 Jan 2019,Jason,Piper,,,,,
1235,Nico di Angelo/Will Solace,26 Jan 2019,Nico,Will,,,,,
1236,Francisca Zhang/Peter McLean,26 Jan 2019,Francisca Zhang,Peter McLean,,,,,
1237,Annabeth Chase/Percy Jackson,26 Jan 2019,Annabeth,Percy,,,,,
1238,Piper McLean/Jason Grace ,26 Jan 2019,Piper,Jason,,,,,
1239,Nico Di Angelo/Will Solace ,26 Jan 2019,Nico,Will,,,,,
1240,Hazel Levesque/Frank Zhang,26 Jan 2019,Hazel,Frank,,,,,
1241,Leo Valdez/Calypso ,26 Jan 2019,Leo,Calypso,,,,,
1242,Annabeth Chase/Percy Jackson,26 Jan 2019,Annabeth,Percy,,,,,
1243,Nico di Angelo/Will Solace,26 Jan 2019,Nico,Will,,,,,
1244,Nico di Angelo/Will Solace,26 Jan 2019,Nico,Will,,,,,
1245,Annabeth Chase/Piper McLean,26 Jan 2019,Annabeth,Piper,,,,,
1246,Nico di Angelo/Percy Jackson,26 Jan 2019,Nico,Percy,,,,,
1247,Apollo/Nico di Angelo,26 Jan 2019,Apollo,Nico,,,,,
1248,Connor Stoll/Original Character,25 Jan 2019,Connor,OC,,,,,
1249,Lou Ellen Blackstone/Travis Stoll,25 Jan 2019,Lou,Travis,,,,,
1250,Annabeth Chase/Percy Jackson,25 Jan 2019,Annabeth,Percy,,,,,
1251,Nico di Angelo/Will Solace,25 Jan 2019,Nico,Will,,,,,
1252,Calypso/Leo Valdez,25 Jan 2019,Calypso,Leo,,,,,
1253,Nico di Angelo/Percy Jackson,25 Jan 2019,Nico,Percy,,,,,
1254,Nico di Angelo/Will Solace,25 Jan 2019,Nico,Will,,,,,
1255,Nico di Angelo/Will Solace,25 Jan 2019,Nico,Will,,,,,
1256,Nico di Angelo/Will Solace,25 Jan 2019,Nico,Will,,,,,
1257,Nico di Angelo/Will Solace,25 Jan 2019,Nico,Will,,,,,
1258,Annabeth Chase/Percy Jackson,25 Jan 2019,Annabeth,Percy,,,,,
1259,Jason Grace/Piper McLean,25 Jan 2019,Jason,Piper,,,,,
1260,Hazel Levesque/Frank Zhang,25 Jan 2019,Hazel,Frank,,,,,
1261,Thalia Grace/Reyna Avila Ramírez-Arellano,25 Jan 2019,Thalia,Reyna,,,,,
1262,Katie Gardner/Travis Stoll,25 Jan 2019,Katie,Travis,,,,,
1263,Miranda Gardiner/Connor Stoll,25 Jan 2019,Miranda Gardiner,Connor,,,,,
1264,Artemis/Percy Jackson,25 Jan 2019,Artemis,Percy,,,,,
1265,Hera/Zeus,25 Jan 2019,Hera,Zeus,,,,,
1266,Aphrodite/Hephaestus ,25 Jan 2019,Aphrodite,Hephaestus,,,,,
1267,Hades/Persephone ,25 Jan 2019,Hades,Persephone,,,,,
1268,Artemis/Percy Jackson,25 Jan 2019,Artemis,Percy,,,,,
1269,Hera/Zeus,25 Jan 2019,Hera,Zeus,,,,,
1270,Aphrodite/Hephaestus ,25 Jan 2019,Aphrodite,Hephaestus,,,,,
1271,Hades/Persephone ,25 Jan 2019,Hades,Persephone,,,,,
1272,Annabeth Chase/Piper McLean,25 Jan 2019,Annabeth,Piper,,,,,
1273,Piper McLean/Leo Valdez,25 Jan 2019,Piper,Leo,,,,,
1274,Annabeth Chase/Leo Valdez,25 Jan 2019,Annabeth,Leo,,,,,
1275,Annabeth Chase/Percy Jackson/Piper McLean,25 Jan 2019,Annabeth,Percy,Piper,,,,
1276,Annabeth Chase/Percy Jackson,25 Jan 2019,Annabeth,Percy,,,,,
1277,Nico di Angelo/Will Solace,25 Jan 2019,Nico,Will,,,,,
1278,Luke Castellan/Ana Jackson,25 Jan 2019,Luke,Ana Jackson,,,,,
1279,Annabeth Chase/Percy Jackson,25 Jan 2019,Annabeth,Percy,,,,,
1280,Cupid/Nico di Angelo,25 Jan 2019,Cupid,Nico,,,,,
1281,Kathryn Ellen ,23 Jan 2019,Kathryn Ellen ,,,,,,
1282,Nico di Angelo/Will Solace,23 Jan 2019,Nico,Will,,,,,
1283,Nico di Angelo/Percy Jackson,23 Jan 2019,Nico,Percy,,,,,
1284,Annabeth Chase/Percy Jackson,23 Jan 2019,Annabeth,Percy,,,,,
1285,Annabeth Chase/Percy Jackson,23 Jan 2019,Annabeth,Percy,,,,,
1286,Annabeth Chase/Percy Jackson,23 Jan 2019,Annabeth,Percy,,,,,
1287,Jason Grace/Percy Jackson,23 Jan 2019,Jason,Percy,,,,,
1288,Nico di Angelo/Percy Jackson,23 Jan 2019,Nico,Percy,,,,,
1289,Nico di Angelo/Will Solace,23 Jan 2019,Nico,Will,,,,,
1290,Annabeth Chase/Reyna Avila Ramírez-Arellano,23 Jan 2019,Annabeth,Reyna,,,,,
1291,Hera/Zeus,23 Jan 2019,Hera,Zeus,,,,,
1292,Bianca di Angelo/Thalia Grace,23 Jan 2019,Bianca,Thalia,,,,,
1293,Nico di Angelo/Jason Grace,23 Jan 2019,Nico,Jason,,,,,
1294,Annabeth Chase/Percy Jackson,23 Jan 2019,Annabeth,Percy,,,,,
1295,Nico di Angelo/Will Solace,23 Jan 2019,Nico,Will,,,,,
1296,Annabeth Chase/Percy Jackson,23 Jan 2019,Annabeth,Percy,,,,,
1297,Jason Grace/Piper McLean,23 Jan 2019,Jason,Piper,,,,,
1298,Thalia Grace/Reyna Avila Ramírez-Arellano,23 Jan 2019,Thalia,Reyna,,,,,
1299,Hades/Persephone ,23 Jan 2019,Hades,Persephone,,,,,
1300,Calypso/Leo Valdez,23 Jan 2019,Calypso,Leo,,,,,
1301,Hazel Levesque/Frank Zhang,23 Jan 2019,Hazel,Frank,,,,,
1302,Luke Castellan/Percy Jackson,23 Jan 2019,Luke,Percy,,,,,
1303,Nico di Angelo/Will Solace,23 Jan 2019,Nico,Will,,,,,
1304,Will Solace/Leo Valdez,23 Jan 2019,Will,Leo,,,,,
1305,Jason Grace/Piper McLean,23 Jan 2019,Jason,Piper,,,,,
1306,Nico di Angelo/Will Solace,23 Jan 2019,Nico,Will,,,,,
1307,Nico di Angelo/Will Solace,23 Jan 2019,Nico,Will,,,,,
1308,Hazel Levesque/Frank Zhang,23 Jan 2019,Hazel,Frank,,,,,
1309,Calypso/Leo Valdez,23 Jan 2019,Calypso,Leo,,,,,
1310,Jason Grace/Piper McLean,23 Jan 2019,Jason,Piper,,,,,
1311,Jason Grace/Percy Jackson,23 Jan 2019,Jason,Percy,,,,,
1312,Nico di Angelo/Will Solace,23 Jan 2019,Nico,Will,,,,,
1313,Percy Jackson/Original Male Character,23 Jan 2019,Percy,OC,,,,,
1314,Percy Jackson/Original Female Character,23 Jan 2019,Percy,OC,,,,,
1315,Nico di Angelo/Will Solace,23 Jan 2019,Nico,Will,,,,,
1316,Nico di Angelo/Will Solace,19 Jan 2019,Nico,Will,,,,,
1317,Percy Jackson/Reader,19 Jan 2019,Percy,Reader,,,,,
1318,Jason Grace/Reader,19 Jan 2019,Jason,Reader,,,,,
1319,Nico di Angelo/Reader,19 Jan 2019,Nico,Reader,,,,,
1320,Leo Valdez/Reader,19 Jan 2019,Leo,Reader,,,,,
1321,Luke Castellan/Reader,19 Jan 2019,Luke,Reader,,,,,
1322,Frank Zhang/Reader,19 Jan 2019,Frank,Reader,,,,,
1323,Annabeth Chase/Reader,19 Jan 2019,Annabeth,Reader,,,,,
1324,Piper McLean/Reader,19 Jan 2019,Piper,Reader,,,,,
1325,Hazel Levesque/Reader,19 Jan 2019,Hazel,Reader,,,,,
1326,Reyna Avila Ramírez-Arellano/Reader,19 Jan 2019,Reyna,Reader,,,,,
1327,Calypso/Reader,19 Jan 2019,Calypso,Reader,,,,,
1328,Will Solace/Reader,19 Jan 2019,Will,Reader,,,,,
1329,May Castellan/Hermes,19 Jan 2019,May Castellan,Hermes,,,,,
1330,Aphrodite/Ares ,19 Jan 2019,Aphrodite,Ares,,,,,
1331,Percy Jackson/Malcolm Pace,19 Jan 2019,Percy,Malcolm Pace,,,,,
1332,Annabeth Chase/Percy Jackson,19 Jan 2019,Annabeth,Percy,,,,,
1333,Nico di Angelo/Will Solace,19 Jan 2019,Nico,Will,,,,,
1334,Hazel Levesque/Leo Valdez/Frank Zhang,19 Jan 2019,Hazel,Leo,Frank,,,,
1335,Hazel Levesque/Frank Zhang,19 Jan 2019,Hazel,Frank,,,,,
1336,Leo Valdez/Frank Zhang,19 Jan 2019,Leo,Frank,,,,,
1337,Hazel Levesque/Leo Valdez,19 Jan 2019,Hazel,Leo,,,,,
1338,Annabeth Chase/Percy Jackson,19 Jan 2019,Annabeth,Percy,,,,,
1339,Thalia Grace/Reyna Avila Ramírez-Arellano,19 Jan 2019,Thalia,Reyna,,,,,
1340,Hazel Levesque/Frank Zhang,19 Jan 2019,Hazel,Frank,,,,,
1341,Nico di Angelo/Will Solace,19 Jan 2019,Nico,Will,,,,,
1342,Annabeth Chase/Percy Jackson,19 Jan 2019,Annabeth,Percy,,,,,
1343,Annabeth Chase/Percy Jackson,19 Jan 2019,Annabeth,Percy,,,,,
1344,Magnus Chase/Alex Fierro,19 Jan 2019,Magnus,Alex,,,,,
1345,Jason Grace/Percy Jackson,19 Jan 2019,Jason,Percy,,,,,
1346,Nico di Angelo/Will Solace,19 Jan 2019,Nico,Will,,,,,
1347,Hazel Levesque/Frank Zhang,19 Jan 2019,Hazel,Frank,,,,,
1348,Nico di Angelo/Will Solace,19 Jan 2019,Nico,Will,,,,,
1349,Annabeth Chase/Percy Jackson,19 Jan 2019,Annabeth,Percy,,,,,
1350,Nico di Angelo/Will Solace,19 Jan 2019,Nico,Will,,,,,
1351,Calypso/Leo Valdez,19 Jan 2019,Calypso,Leo,,,,,
1352,Percy Jackson/Kronos,19 Jan 2019,Percy,Kronos,,,,,
1353,past Percy Jackson/Annabeth Chase - Relationship,19 Jan 2019,Percy,Annabeth,,,,,
1354,Nico di Angelo/Will Solace,17 Jan 2019,Nico,Will,,,,,
1355,Annabeth Chase/Percy Jackson,17 Jan 2019,Annabeth,Percy,,,,,
1356,Magnus Chase/Alex Fierro,17 Jan 2019,Magnus,Alex,,,,,
1357,Nico di Angelo/Will Solace,17 Jan 2019,Nico,Will,,,,,
1358,Halfborn Gunderson/Mallory Keen,17 Jan 2019,Halfborn Gunderson,Mallory Keen,,,,,
1359,Jason Grace/Thomas Jefferson Jr. ,17 Jan 2019,Jason,Thomas Jefferson Jr. ,,,,,
1360,Jason Grace/Piper McLean ,17 Jan 2019,Jason,Piper,,,,,
1361,Annabeth Chase/Percy Jackson,17 Jan 2019,Annabeth,Percy,,,,,
1362,Nico di Angelo/Will Solace,17 Jan 2019,Nico,Will,,,,,
1363,Nico di Angelo/Percy Jackson,17 Jan 2019,Nico,Percy,,,,,
1364,Jason Grace/Piper McLean,17 Jan 2019,Jason,Piper,,,,,
1365,Hazel Levesque/Frank Zhang,17 Jan 2019,Hazel,Frank,,,,,
1366,Calypso/Leo Valdez,17 Jan 2019,Calypso,Leo,,,,,
1367,Annabeth Chase/Percy Jackson,17 Jan 2019,Annabeth,Percy,,,,,
1368,Jason Grace/Piper McLean,17 Jan 2019,Jason,Piper,,,,,
1369,Percy Jackson/Rachel Elizabeth Dare ,17 Jan 2019,Percy,Rachel,,,,,
1370,Nico di Angelo/Percy Jackson,17 Jan 2019,Nico,Percy,,,,,
1371,Nico di Angelo/Will Solace,17 Jan 2019,Nico,Will,,,,,
1372,Annabeth Chase/Percy Jackson,17 Jan 2019,Annabeth,Percy,,,,,
1373,Thalia Grace/Reyna Avila Ramírez-Arellano,17 Jan 2019,Thalia,Reyna,,,,,
1374,Annabeth Chase/Percy Jackson,17 Jan 2019,Annabeth,Percy,,,,,
1375,Nico di Angelo/Will Solace,17 Jan 2019,Nico,Will,,,,,
1376,Piper McLean/Leo Valdez,17 Jan 2019,Piper,Leo,,,,,
1377,Athena/Percy Jackson,17 Jan 2019,Athena,Percy,,,,,
1378,Artemis/Percy Jackson,17 Jan 2019,Artemis,Percy,,,,,
1379,Nico di Angelo/Will Solace,13 Jan 2019,Nico,Will,,,,,
1380,Nico di Angelo/Will Solace,13 Jan 2019,Nico,Will,,,,,
1381,Andrew/CJ,13 Jan 2019,Drew,CJ,,,,,
1382,Jason Grace/Piper McLean/Leo Valdez,13 Jan 2019,Jason,Piper,Leo,,,,
1383,Jason Grace/Piper McLean,13 Jan 2019,Jason,Piper,,,,,
1384,Jason Grace/Leo Valdez,13 Jan 2019,Jason,Leo,,,,,
1385,Piper McLean/Leo Valdez,13 Jan 2019,Piper,Leo,,,,,
1386,Nico di Angelo/Will Solace,13 Jan 2019,Nico,Will,,,,,
1387,Jason Grace/Piper McLean,13 Jan 2019,Jason,Piper,,,,,
1388,Nico di Angelo/Leo Valdez,13 Jan 2019,Nico,Leo,,,,,
1389,Leo Valdez/Original Female Character,13 Jan 2019,Leo,OC,,,,,
1390,Nico di Angelo/Will Solace,13 Jan 2019,Nico,Will,,,,,
1391,Annabeth Chase/Percy Jackson,13 Jan 2019,Annabeth,Percy,,,,,
1392,Nico di Angelo/Will Solace,13 Jan 2019,Nico,Will,,,,,
1393,Jason Grace/Piper McLean,13 Jan 2019,Jason,Piper,,,,,
1394,Hazel Levesque/Frank Zhang,13 Jan 2019,Hazel,Frank,,,,,
1395,Calypso/Leo Valdez,13 Jan 2019,Calypso,Leo,,,,,
1396,Katie Gardner/Travis Stoll,13 Jan 2019,Katie,Travis,,,,,
1397,Cecil Markowitz/Ellis Wakefield,13 Jan 2019,Cecil Markowitz,Ellis Wakefield,,,,,
1398,Clarisse La Rue/Chris Rodriguez,13 Jan 2019,Clarisse,Chris,,,,,
1399,Reyna Avila Ramírez-Arellano/Drew Tanaka,13 Jan 2019,Reyna,Drew,,,,,
1400,Nyssa Barrera/Lacy,13 Jan 2019,Nyssa Barrera,Lacy,,,,,
1401,Jake Mason/Connor Stoll,13 Jan 2019,Jake Mason,Connor,,,,,
1402,Mitchell/Malcolm Pace,13 Jan 2019,Mitchell,Malcolm Pace,,,,,
1403,Butch/Kayla Knowles,13 Jan 2019,Butch,Kayla Knowles,,,,,
1404,Apollo/Paolo Montes,13 Jan 2019,Apollo,Paolo Montes,,,,,
1405,Jason Grace/Percy Jackson,13 Jan 2019,Jason,Percy,,,,,
1406,Nico di Angelo/Percy Jackson,13 Jan 2019,Nico,Percy,,,,,
1407,Nico di Angelo/Will Solace,13 Jan 2019,Nico,Will,,,,,
1408,Hazel Levesque/Frank Zhang,13 Jan 2019,Hazel,Frank,,,,,
1409,Annabeth Chase/Percy Jackson,13 Jan 2019,Annabeth,Percy,,,,,
1410,Jason Grace/Percy Jackson,13 Jan 2019,Jason,Percy,,,,,
1411,Annabeth Chase/Piper McLean,13 Jan 2019,Annabeth,Piper,,,,,
1412,Annabeth Chase/Percy Jackson,13 Jan 2019,Annabeth,Percy,,,,,
1413,Annabeth Chase/Percy Jackson,13 Jan 2019,Annabeth,Percy,,,,,
1414,Nico di Angelo/Will Solace,13 Jan 2019,Nico,Will,,,,,
1415,Annabeth Chase/Percy Jackson,11 Jan 2019,Annabeth,Percy,,,,,
1416,Jason Grace/Piper McLean,11 Jan 2019,Jason,Piper,,,,,
1417,Annabeth Chase/Percy Jackson,11 Jan 2019,Annabeth,Percy,,,,,
1418,Annabeth Chase/Percy Jackson,11 Jan 2019,Annabeth,Percy,,,,,
1419,Nico di Angelo/Will Solace,11 Jan 2019,Nico,Will,,,,,
1420,Jason Grace/Piper McLean,11 Jan 2019,Jason,Piper,,,,,
1421,Damien White/Chiara Benvenuti/Paolo Montes,11 Jan 2019,Damien White,Chiara Benvenuti,Paolo Montes,,,,
1422,Nico di Angelo/Will Solace,11 Jan 2019,Nico,Will,,,,,
1423,Annabeth Chase/Clarisse La Rue,11 Jan 2019,Annabeth,Clarisse,,,,,
1424,Nico di Angelo/Will Solace,11 Jan 2019,Nico,Will,,,,,
1425,Nico di Angelo/Will Solace,11 Jan 2019,Nico,Will,,,,,
1426,Nico di Angelo/Will Solace,11 Jan 2019,Nico,Will,,,,,
1427,Nico di Angelo/Percy Jackson,11 Jan 2019,Nico,Percy,,,,,
1428,Nico di Angelo/Will Solace,11 Jan 2019,Nico,Will,,,,,
1429,Annabeth Chase/Percy Jackson,11 Jan 2019,Annabeth,Percy,,,,,
1430,Nico di Angelo/Will Solace,11 Jan 2019,Nico,Will,,,,,
1431,Jason Grace/Piper McLean,11 Jan 2019,Jason,Piper,,,,,
1432,Hazel Levesque/Frank Zhang,11 Jan 2019,Hazel,Frank,,,,,
1433,Calypso/Leo Valdez,11 Jan 2019,Calypso,Leo,,,,,
1434,Nico di Angelo/Leo Valdez,11 Jan 2019,Nico,Leo,,,,,
1435,Clovis/Nico di Angelo,11 Jan 2019,Clovis,Nico,,,,,
1436,Thalia Grace/Reyna Avila Ramírez-Arellano,11 Jan 2019,Thalia,Reyna,,,,,
1437,Hazel Levesque/Frank Zhang,11 Jan 2019,Hazel,Frank,,,,,
1438,Percy Jackson/?,11 Jan 2019,Percy,?,,,,,
1439,Annabeth Chase/Percy Jackson,07 Jan 2019,Annabeth,Percy,,,,,
1440,Annabeth Chase/Percy Jackson,07 Jan 2019,Annabeth,Percy,,,,,
1441,Nico di Angelo/Will Solace,07 Jan 2019,Nico,Will,,,,,
1442,Jason Grace/Piper McLean,07 Jan 2019,Jason,Piper,,,,,
1443,Annabeth Chase/Percy Jackson,07 Jan 2019,Annabeth,Percy,,,,,
1444,Nico di Angelo/Will Solace,07 Jan 2019,Nico,Will,,,,,
1445,Jason Grace/Piper McLean,07 Jan 2019,Jason,Piper,,,,,
1446,Calypso/Leo Valdez,07 Jan 2019,Calypso,Leo,,,,,
1447,Nico di Angelo/Will Solace,07 Jan 2019,Nico,Will,,,,,
1448,Original Female Character,07 Jan 2019,OC,,,,,,
1449,Annabeth Chase/Percy Jackson,07 Jan 2019,Annabeth,Percy,,,,,
1450,Thalia Grace/Percy Jackson,07 Jan 2019,Thalia,Percy,,,,,
1451,Nico di Angelo/Thalia Grace,07 Jan 2019,Nico,Thalia,,,,,
1452,Nico di Angelo/Will Solace,07 Jan 2019,Nico,Will,,,,,
1453,Annabeth Chase/Percy Jackson,07 Jan 2019,Annabeth,Percy,,,,,
1454,Annabeth Chase/Percy Jackson,07 Jan 2019,Annabeth,Percy,,,,,
1455,Nico di Angelo/Percy Jackson,07 Jan 2019,Nico,Percy,,,,,
1456,Nico di Angelo/Will Solace,07 Jan 2019,Nico,Will,,,,,
1457,Jason Grace/Piper McLean,07 Jan 2019,Jason,Piper,,,,,
1458,Annabeth Chase/Percy Jackson,07 Jan 2019,Annabeth,Percy,,,,,
1459,Calypso/Leo Valdez,07 Jan 2019,Calypso,Leo,,,,,
1460,Hazel Levesque/Frank Zhang,07 Jan 2019,Hazel,Frank,,,,,
1461,Nico di Angelo/Will Solace,07 Jan 2019,Nico,Will,,,,,
1462,Nico di Angelo/Will Solace,07 Jan 2019,Nico,Will,,,,,
1463,Annabeth Chase/Percy Jackson,07 Jan 2019,Annabeth,Percy,,,,,
1464,Katie Gardner/Travis Stoll,07 Jan 2019,Katie,Travis,,,,,
1465,Nico di Angelo/Will Solace,07 Jan 2019,Nico,Will,,,,,
1466,Jason Grace/Piper McLean,07 Jan 2019,Jason,Piper,,,,,
1467,Hazel Levesque/Frank Zhang,07 Jan 2019,Hazel,Frank,,,,,
1468,Annabeth Chase/Percy Jackson,07 Jan 2019,Annabeth,Percy,,,,,
1469,Nico di Angelo/Percy Jackson,07 Jan 2019,Nico,Percy,,,,,
1470,Hazel Levesque/Frank Zhang,07 Jan 2019,Hazel,Frank,,,,,
1471,Jason Grace/Piper McLean,07 Jan 2019,Jason,Piper,,,,,
1472,Annabeth Chase/Percy Jackson,05 Jan 2019,Annabeth,Percy,,,,,
1473,Luke Castellan/Thalia Grace,05 Jan 2019,Luke,Thalia,,,,,
1474,Jason Grace/Piper McLean,05 Jan 2019,Jason,Piper,,,,,
1475,Nico di Angelo/Will Solace,05 Jan 2019,Nico,Will,,,,,
1476,Hazel Levesque/Frank Zhang,05 Jan 2019,Hazel,Frank,,,,,
1477,Calypso/Leo Valdez,05 Jan 2019,Calypso,Leo,,,,,
1478,OC/OC,05 Jan 2019,OC,OC,,,,,
1479,Nico di Angelo/Will Solace,05 Jan 2019,Nico,Will,,,,,
1480,Annabeth Chase/Percy Jackson,05 Jan 2019,Annabeth,Percy,,,,,
1481,Jason Grace/Piper McLean,05 Jan 2019,Jason,Piper,,,,,
1482,Hazel Levesque/Frank Zhang,05 Jan 2019,Hazel,Frank,,,,,
1483,Calypso/Leo Valdez,05 Jan 2019,Calypso,Leo,,,,,
1484,Malcolm Pace/Sherman Yang,05 Jan 2019,Malcolm Pace,Sherman Yang,,,,,
1485,Nico di Angelo/Percy Jackson,05 Jan 2019,Nico,Percy,,,,,
1486,Annabeth Chase/Percy Jackson,05 Jan 2019,Annabeth,Percy,,,,,
1487,Luke/Original Female Character,05 Jan 2019,Luke,OC,,,,,
1488,Luke Castellan/Original Female Character,05 Jan 2019,Luke,OC,,,,,
1489,Hades/original female character,05 Jan 2019,Hades,OC,,,,,
1490,Hades/OC - Relationship,05 Jan 2019,Hades,OC - Relationship,,,,,
1491,Jason Grace/Piper McLean,05 Jan 2019,Jason,Piper,,,,,
1492,Poseidon/Alex,05 Jan 2019,Poseidon,Alex,,,,,
1493,Annabeth Chase/Percy Jackson,05 Jan 2019,Annabeth,Percy,,,,,
1494,Nico di Angelo/Will Solace,05 Jan 2019,Nico,Will,,,,,
1495,Hazel Levesque/Frank Zhang,05 Jan 2019,Hazel,Frank,,,,,
1496,Luke Castellan/Reader,05 Jan 2019,Luke,Reader,,,,,
1497,Rachel Elizabeth Dare/Reyna Avila Ramírez-Arellano,05 Jan 2019,Rachel,Reyna,,,,,
1498,Nico di Angelo/Will Solace,05 Jan 2019,Nico,Will,,,,,
1499,Thalia Grace/Reyna Avila Ramírez-Arellano,05 Jan 2019,Thalia,Reyna,,,,,
1500,Annabeth Chase/Percy Jackson,05 Jan 2019,Annabeth,Percy,,,,,
1501,Jason Grace/Piper McLean,05 Jan 2019,Jason,Piper,,,,,
1502,Medusa/Poseidon ,05 Jan 2019,Medusa,Poseidon,,,,,
1503,Nico di Angelo/Will Solace,05 Jan 2019,Nico,Will,,,,,
1504,Nico di Angelo/Will Solace,05 Jan 2019,Nico,Will,,,,,
1505,Alabaster Torrington/Original Character,05 Jan 2019,Alabaster Torrington,OC,,,,,
1506,Original Character,05 Jan 2019,OC,,,,,,
1507,Original Female Character,05 Jan 2019,OC,,,,,,
1508,Original Male Character,05 Jan 2019,OC,,,,,,
1509,Original Female Character,05 Jan 2019,OC,,,,,,
1510,Original Female Character,05 Jan 2019,OC,,,,,,
1511,Luke castellan/Thalia Grace ,05 Jan 2019,Luke,Thalia,,,,,
1512,Nico di Angelo/Percy Jackson,05 Jan 2019,Nico,Percy,,,,,
1513,Calypso/Leo Valdez,05 Jan 2019,Calypso,Leo,,,,,
1514,Hazel Levesque/Frank Zhang,05 Jan 2019,Hazel,Frank,,,,,
1515,Jason Grace/Piper McLean,05 Jan 2019,Jason,Piper,,,,,
1516,Nico di Angelo/Will Solace,05 Jan 2019,Nico,Will,,,,,
1517,Annabeth Chase/Percy Jackson,05 Jan 2019,Annabeth,Percy,,,,,
1518,Magnus Chase/Alex Fierro,05 Jan 2019,Magnus,Alex,,,,,
1519,Percy Jackson/Kronos,03 Jan 2019,Percy,Kronos,,,,,
1520,Calypso/Leo Valdez,03 Jan 2019,Calypso,Leo,,,,,
1521,Annabeth Chase/Percy Jackson ,03 Jan 2019,Annabeth,Percy,,,,,
