Ship,Date
Percy Jackson/Annabeth Chase (past),29 Mar 2019
Annabeth Chase/Percy Jackson,29 Mar 2019
Jason Grace/Piper McLean,29 Mar 2019
Jason Grace/Percy Jackson,29 Mar 2019
Nico di Angelo/Will Solace,29 Mar 2019
(mention),29 Mar 2019
Jason Grace/Percy Jackson,29 Mar 2019
(One-sided) Ares/Percy Jackson,29 Mar 2019
Sadie Kane/Walt Stone,29 Mar 2019
Annabeth Chase/Percy Jackson,29 Mar 2019
Annabeth Chase/Percy Jackson,29 Mar 2019
Jason Grace/Piper McLean,29 Mar 2019
Annabeth Chase/Percy Jackson,29 Mar 2019
Jason Grace/Piper McLean,29 Mar 2019
Luke Castellan/Percy Jackson,29 Mar 2019
Jason Grace/Percy Jackson,29 Mar 2019
Nico di Angelo/Will Solace,29 Mar 2019
Piper McLean/Reyna Avila Ramírez-Arellano,29 Mar 2019
Hazel Levesque/Frank Zhang,29 Mar 2019
Nico di Angelo/Will Solace,29 Mar 2019
Hazel Levesque/Frank Zhang,29 Mar 2019
Annabeth Chase/Percy Jackson,29 Mar 2019
Jason Grace/Piper McLean,29 Mar 2019
Nico di Angelo/Will Solace,29 Mar 2019
(One sided)Percy Jackson/Nico Di Angelo,29 Mar 2019
Nico di Angelo/Will Solace,29 Mar 2019
Artemis/Percy Jackson,27 Mar 2019
Nico di Angelo/Thalia Grace,27 Mar 2019
Jason Grace/Piper McLean,27 Mar 2019
Hazel Levesque/Frank Zhang,27 Mar 2019
Apollo/Rachel Elizabeth Dare,27 Mar 2019
Clarisse La Rue/Chris Rodriguez,27 Mar 2019
Luke Castellan/Zoë Nightshade,27 Mar 2019
Zeus/Hera,27 Mar 2019
Poseidon/Amphitrite,27 Mar 2019
Hades/Persephone (Percy Jackson),27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Paul Blofis/Sally Jackson,27 Mar 2019
Annabeth Chase/Original Male Character(s),27 Mar 2019
Percy Jackson/Original Female Character(s),27 Mar 2019
Rachel Elizabeth Dare/Percy Jackson- FORMERLY,27 Mar 2019
Luke Castellan/Annabeth Chase- FORMERLY,27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Hazel Levesque/Frank Zhang,27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Nico di Angelo/Will Solace,27 Mar 2019
Nico di Angelo & Jason Grace,27 Mar 2019
Nico di Angelo & Reyna Avila Ramírez-Arellano,27 Mar 2019
Hazel Levesque/Frank Zhang,27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Annabeth Chase & Percy Jackson,27 Mar 2019
Nico di Angelo/Will Solace,27 Mar 2019
Nico di Angelo/Percy Jackson,27 Mar 2019
Apollo & Calypso,27 Mar 2019
Apollo & Leo Valdez,27 Mar 2019
Apollo & Calypso & Leo Valdez,27 Mar 2019
Calypso/Leo Valdez,27 Mar 2019
Festus & Leo Valdez,27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Jason Grace/Piper McLean,27 Mar 2019
Jason Grace/Percy Jackson,27 Mar 2019
Hera/Zeus (Percy Jackson),27 Mar 2019
Sally Jackson/Poseidon,27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Annabeth Chase/Original Character(s),27 Mar 2019
Annabeth Chase & Nico di Angelo,27 Mar 2019
Annabeth Chase & Clarisse La Rue,27 Mar 2019
Annabeth Chase & Grover Underwood,27 Mar 2019
Nico di Angelo/OC,27 Mar 2019
Hazel Levesque/Frank Zhang,27 Mar 2019
Jason Grace/Piper McLean,27 Mar 2019
Nico di Angelo/Will Solace,27 Mar 2019
Nico di Angelo & Will Solace,27 Mar 2019
Nico di Angelo/Jason Grace,27 Mar 2019
Calypso/Piper McLean,27 Mar 2019
Leo Valdez & Frank Zhang,27 Mar 2019
Annabeth Chase/Percy Jackson,27 Mar 2019
Jason Grace/Percy Jackson,26 Mar 2019
Annabeth Chase & Percy Jackson,26 Mar 2019
Luke Castellan & Percy Jackson,26 Mar 2019
Leo Valdez/Original Female Character(s),26 Mar 2019
Annabeth Chase & Percy Jackson,26 Mar 2019
Jason Grace/Piper McLean,26 Mar 2019
Nico di Angelo/Will Solace,26 Mar 2019
Annabeth Chase/Percy Jackson,26 Mar 2019
Nico di Angelo/Will Solace,26 Mar 2019
Apollo/Poseidon (Percy Jackson),26 Mar 2019
Piper McLean/Kayla Knowles,26 Mar 2019
